Code,Industry,Pre Code,Cur Code
NAICS 238110,Poured Concrete Foundation and Structure Contractors,23811,0
NAICS 238120,Structural Steel and Precast Concrete Contractors,23812,0
NAICS 238130,Framing Contractors,23813,0
NAICS 238140,Masonry Contractors,23814,0
NAICS 238150,Glass and Glazing Contractors,23815,0
NAICS 238160,Roofing Contractors,23816,0
NAICS 238170,Siding Contractors,23817,0
NAICS 238190,"Other Foundation, Structure, and Building Exterior Contractors",23819,0
NAICS 238210,Electrical Contractors and Other Wiring Installation Contractors,23821,0
NAICS 238220,"Plumbing, Heating, and Air-Conditioning Contractors",23822,0
NAICS 238290,Other Building Equipment Contractors,23829,0
NAICS 238310,Drywall and Insulation Contractors,23831,0
NAICS 238320,Painting and Wall Covering Contractors,23832,0
NAICS 238330,Flooring Contractors,23833,0
NAICS 238340,Tile and Terrazzo Contractors,23834,0
NAICS 238350,Finish Carpentry Contractors,23835,0
NAICS 238390,Other Building Finishing Contractors,23839,0
NAICS 238910,Site Preparation Contractors,23891,0
NAICS 238990,All Other Specialty Trade Contractors,23899,0
NAICS 311111,Dog and Cat Food Manufacturing,31111,1
NAICS 311119,Other Animal Food Manufacturing,31111,9
NAICS 311211,Flour Milling,31121,1
NAICS 311212,Rice Milling,31121,2
NAICS 311213,Malt Manufacturing,31121,3
NAICS 311221,Wet Corn Milling,31122,1
NAICS 311224,Soybean and Other Oilseed Processing,31122,4
NAICS 311225,Fats and Oils Refining and Blending,31122,5
NAICS 311230,Breakfast Cereal Manufacturing,31123,0
NAICS 311313,Beet Sugar Manufacturing,31131,3
NAICS 311314,Cane Sugar Manufacturing,31131,4
NAICS 311340,Nonchocolate Confectionery Manufacturing,31134,0
NAICS 311351,Chocolate and Confectionery Manufacturing from Cacao Beans,31135,1
NAICS 311352,Confectionery Manufacturing from Purchased Chocolate,31135,2
NAICS 311411,"Frozen Fruit, Juice, and Vegetable Manufacturing",31141,1
NAICS 311412,Frozen Specialty Food Manufacturing,31141,2
NAICS 311421,Fruit and Vegetable Canning,31142,1
NAICS 311422,Specialty Canning,31142,2
NAICS 311423,Dried and Dehydrated Food Manufacturing,31142,3
NAICS 311511,Fluid Milk Manufacturing,31151,1
NAICS 311512,Creamery Butter Manufacturing,31151,2
NAICS 311513,Cheese Manufacturing,31151,3
NAICS 311514,"Dry, Condensed, and Evaporated Dairy Product Manufacturing",31151,4
NAICS 311520,Ice Cream and Frozen Dessert Manufacturing,31152,0
NAICS 311611,Animal (except Poultry) Slaughtering,31161,1
NAICS 311612,Meat Processed from Carcasses,31161,2
NAICS 311613,Rendering and Meat Byproduct Processing,31161,3
NAICS 311615,Poultry Processing,31161,5
NAICS 311710,Seafood Product Preparation and Packaging,31171,0
NAICS 311811,Retail Bakeries,31181,1
NAICS 311812,Commercial Bakeries,31181,2
NAICS 311813,"Frozen Cakes, Pies, and Other Pastries Manufacturing",31181,3
NAICS 311821,Cookie and Cracker Manufacturing,31182,1
NAICS 311824,"Dry Pasta, Dough, and Flour Mixes Manufacturing from Purchased Flour",31182,4
