Code,Industry,Pre Code,Cur Code
NAICS 336320,Motor Vehicle Electrical and Electronic Equipment Manufacturing,33632,0
NAICS 336330,Motor Vehicle Steering and Suspension Components (except Spring) Manufacturing,33633,0
NAICS 336340,Motor Vehicle Brake System Manufacturing,33634,0
NAICS 336350,Motor Vehicle Transmission and Power Train Parts Manufacturing,33635,0
NAICS 336360,Motor Vehicle Seating and Interior Trim Manufacturing,33636,0
NAICS 336370,Motor Vehicle Metal Stamping,33637,0
NAICS 336390,Other Motor Vehicle Parts Manufacturing,33639,0
NAICS 336411,Aircraft Manufacturing,33641,1
NAICS 336412,Aircraft Engine and Engine Parts Manufacturing,33641,2
NAICS 336413,Other Aircraft Parts and Auxiliary Equipment Manufacturing,33641,3
NAICS 336414,Guided Missile and Space Vehicle Manufacturing,33641,4
NAICS 336415,Guided Missile and Space Vehicle Propulsion Unit and Propulsion Unit Parts Manufacturing,33641,5
NAICS 336419,Other Guided Missile and Space Vehicle Parts and Auxiliary Equipment Manufacturing,33641,9
NAICS 336510,Railroad Rolling Stock Manufacturing,33651,0
NAICS 336611,Ship Building and Repairing,33661,1
NAICS 336612,Boat Building,33661,2
NAICS 336991,"Motorcycle, Bicycle, and Parts Manufacturing",33699,1
NAICS 336992,"Military Armored Vehicle, Tank, and Tank Component Manufacturing",33699,2
NAICS 336999,All Other Transportation Equipment Manufacturing,33699,9
NAICS 337110,Wood Kitchen Cabinet and Countertop Manufacturing,33711,0
NAICS 337121,Upholstered Household Furniture Manufacturing,33712,1
NAICS 337122,Nonupholstered Wood Household Furniture Manufacturing,33712,2
NAICS 337124,Metal Household Furniture Manufacturing,33712,4
NAICS 337125,Household Furniture (except Wood and Metal) Manufacturing,33712,5
NAICS 337127,Institutional Furniture Manufacturing,33712,7
NAICS 337211,Wood Office Furniture Manufacturing,33721,1
NAICS 337212,Custom Architectural Woodwork and Millwork Manufacturing,33721,2
NAICS 337214,Office Furniture (except Wood) Manufacturing,33721,4
NAICS 337215,"Showcase, Partition, Shelving, and Locker Manufacturing",33721,5
NAICS 337910,Mattress Manufacturing,33791,0
NAICS 337920,Blind and Shade Manufacturing,33792,0
NAICS 339112,Surgical and Medical Instrument Manufacturing,33911,2
NAICS 339113,Surgical Appliance and Supplies Manufacturing,33911,3
NAICS 339114,Dental Equipment and Supplies Manufacturing,33911,4
NAICS 339115,Ophthalmic Goods Manufacturing,33911,5
NAICS 339116,Dental Laboratories,33911,6
NAICS 339910,Jewelry and Silverware Manufacturing,33991,0
NAICS 339920,Sporting and Athletic Goods Manufacturing,33992,0
NAICS 339930,"Doll, Toy, and Game Manufacturing",33993,0
NAICS 339940,Office Supplies (except Paper) Manufacturing,33994,0
NAICS 339950,Sign Manufacturing,33995,0
NAICS 339991,"Gasket, Packing, and Sealing Device Manufacturing",33999,1
NAICS 339992,Musical Instrument Manufacturing,33999,2
NAICS 339993,"Fastener, Button, Needle, and Pin Manufacturing",33999,3
NAICS 339994,"Broom, Brush, and Mop Manufacturing",33999,4
NAICS 339995,Burial Casket Manufacturing,33999,5
NAICS 339999,All Other Miscellaneous Manufacturing,33999,9
NAICS 423110,Automobile and Other Motor Vehicle Merchant Wholesalers,42311,0
NAICS 423120,Motor Vehicle Supplies and New Parts Merchant Wholesalers,42312,0
NAICS 423130,Tire and Tube Merchant Wholesalers,42313,0
NAICS 423140,Motor Vehicle Parts (Used) Merchant Wholesalers,42314,0
NAICS 423210,Furniture Merchant Wholesalers,42321,0
NAICS 423220,Home Furnishing Merchant Wholesalers,42322,0
NAICS 423310,"Lumber, Plywood, Millwork, and Wood Panel Merchant Wholesalers",42331,0
NAICS 423320,"Brick, Stone, and Related Construction Material Merchant Wholesalers",42332,0
NAICS 423330,"Roofing, Siding, and Insulation Material Merchant Wholesalers",42333,0
NAICS 423390,Other Construction Material Merchant Wholesalers,42339,0
NAICS 423410,Photographic Equipment and Supplies Merchant Wholesalers,42341,0
NAICS 423420,Office Equipment Merchant Wholesalers,42342,0
NAICS 423430,Computer and Computer Peripheral Equipment and Software Merchant Wholesalers,42343,0
NAICS 423440,Other Commercial Equipment Merchant Wholesalers,42344,0
NAICS 423450,"Medical, Dental, and Hospital Equipment and Supplies Merchant Wholesalers",42345,0
NAICS 423460,Ophthalmic Goods Merchant Wholesalers,42346,0
NAICS 423490,Other Professional Equipment and Supplies Merchant Wholesalers,42349,0
NAICS 423510,Metal Service Centers and Other Metal Merchant Wholesalers,42351,0
NAICS 423520,Coal and Other Mineral and Ore Merchant Wholesalers,42352,0
NAICS 423610,"Electrical Apparatus and Equipment, Wiring Supplies, and Related Equipment Merchant Wholesalers",42361,0
NAICS 423620,"Household Appliances, Electric Housewares, and Consumer Electronics Merchant Wholesalers",42362,0
NAICS 423690,Other Electronic Parts and Equipment Merchant Wholesalers,42369,0
NAICS 423710,Hardware Merchant Wholesalers,42371,0
NAICS 423720,Plumbing and Heating Equipment and Supplies (Hydronics) Merchant Wholesalers,42372,0
NAICS 423730,Warm Air Heating and Air-Conditioning Equipment and Supplies Merchant Wholesalers,42373,0
NAICS 423740,Refrigeration Equipment and Supplies Merchant Wholesalers,42374,0
NAICS 423810,Construction and Mining (except Oil Well) Machinery and Equipment Merchant Wholesalers,42381,0
NAICS 423820,Farm and Garden Machinery and Equipment Merchant Wholesalers,42382,0
NAICS 423830,Industrial Machinery and Equipment Merchant Wholesalers,42383,0
NAICS 423840,Industrial Supplies Merchant Wholesalers,42384,0
NAICS 423850,Service Establishment Equipment and Supplies Merchant Wholesalers,42385,0
NAICS 423860,Transportation Equipment and Supplies (except Motor Vehicle) Merchant Wholesalers,42386,0
NAICS 423910,Sporting and Recreational Goods and Supplies Merchant Wholesalers,42391,0
NAICS 423920,Toy and Hobby Goods and Supplies Merchant Wholesalers,42392,0
NAICS 423930,Recyclable Material Merchant Wholesalers,42393,0
NAICS 423940,"Jewelry, Watch, Precious Stone, and Precious Metal Merchant Wholesalers",42394,0
NAICS 423990,Other Miscellaneous Durable Goods Merchant Wholesalers,42399,0
NAICS 424110,Printing and Writing Paper Merchant Wholesalers,42411,0
NAICS 424120,Stationery and Office Supplies Merchant Wholesalers,42412,0
NAICS 424130,Industrial and Personal Service Paper Merchant Wholesalers,42413,0
NAICS 424210,Drugs and Druggists' Sundries Merchant Wholesalers,42421,0
NAICS 424310,"Piece Goods, Notions, and Other Dry Goods Merchant Wholesalers",42431,0
NAICS 424320,Men's and Boys' Clothing and Furnishings Merchant Wholesalers,42432,0
NAICS 424330,"Women's, Children's, and Infants' Clothing and Accessories Merchant Wholesalers",42433,0
NAICS 424340,Footwear Merchant Wholesalers,42434,0
NAICS 424410,General Line Grocery Merchant Wholesalers,42441,0
NAICS 424420,Packaged Frozen Food Merchant Wholesalers,42442,0
NAICS 424430,Dairy Product (except Dried or Canned) Merchant Wholesalers,42443,0
NAICS 424440,Poultry and Poultry Product Merchant Wholesalers,42444,0
NAICS 424450,Confectionery Merchant Wholesalers,42445,0
NAICS 424460,Fish and Seafood Merchant Wholesalers,42446,0
NAICS 424470,Meat and Meat Product Merchant Wholesalers,42447,0
NAICS 424480,Fresh Fruit and Vegetable Merchant Wholesalers,42448,0
NAICS 424490,Other Grocery and Related Products Merchant Wholesalers,42449,0
NAICS 424510,Grain and Field Bean Merchant Wholesalers,42451,0
NAICS 424520,Livestock Merchant Wholesalers,42452,0
NAICS 424590,Other Farm Product Raw Material Merchant Wholesalers,42459,0
NAICS 424610,Plastics Materials and Basic Forms and Shapes Merchant Wholesalers,42461,0
NAICS 424690,Other Chemical and Allied Products Merchant Wholesalers,42469,0
NAICS 424710,Petroleum Bulk Stations and Terminals,42471,0
NAICS 424720,Petroleum and Petroleum Products Merchant Wholesalers (except Bulk Stations and Terminals),42472,0
NAICS 424810,Beer and Ale Merchant Wholesalers,42481,0
NAICS 424820,Wine and Distilled Alcoholic Beverage Merchant Wholesalers,42482,0
NAICS 424910,Farm Supplies Merchant Wholesalers,42491,0
NAICS 424920,"Book, Periodical, and Newspaper Merchant Wholesalers",42492,0
NAICS 424930,"Flower, Nursery Stock, and Florists' Supplies Merchant Wholesalers",42493,0
NAICS 424940,Tobacco and Tobacco Product Merchant Wholesalers,42494,0
NAICS 424950,"Paint, Varnish, and Supplies Merchant Wholesalers",42495,0
NAICS 424990,Other Miscellaneous Nondurable Goods Merchant Wholesalers,42499,0
NAICS 425110,Business to Business Electronic Markets,42511,0
NAICS 425120,Wholesale Trade Agents and Brokers,42512,0
NAICS 441110,New Car Dealers,44111,0
NAICS 441120,Used Car Dealers,44112,0
NAICS 441210,Recreational Vehicle Dealers,44121,0
NAICS 441222,Boat Dealers,44122,2
NAICS 441228,"Motorcycle, ATV, and All Other Motor Vehicle Dealers",44122,8
NAICS 441310,Automotive Parts and Accessories Stores,44131,0
NAICS 441320,Tire Dealers,44132,0
NAICS 442110,Furniture Stores,44211,0
NAICS 442210,Floor Covering Stores,44221,0
NAICS 442291,Window Treatment Stores,44229,1
NAICS 442299,All Other Home Furnishings Stores,44229,9
NAICS 443141,Household Appliance Stores,44314,1
NAICS 443142,Electronics Stores,44314,2
NAICS 444110,Home Centers,44411,0
NAICS 444120,Paint and Wallpaper Stores,44412,0
NAICS 444130,Hardware Stores,44413,0
NAICS 444190,Other Building Material Dealers,44419,0
NAICS 444210,Outdoor Power Equipment Stores,44421,0
NAICS 444220,"Nursery, Garden Center, and Farm Supply Stores",44422,0
NAICS 445110,Supermarkets and Other Grocery (except Convenience) Stores,44511,0
NAICS 445120,Convenience Stores,44512,0
NAICS 445210,Meat Markets,44521,0
NAICS 445220,Fish and Seafood Markets,44522,0
NAICS 445230,Fruit and Vegetable Markets,44523,0
NAICS 445291,Baked Goods Stores,44529,1
NAICS 445292,Confectionery and Nut Stores,44529,2
NAICS 445299,All Other Specialty Food Stores,44529,9
NAICS 445310,"Beer, Wine, and Liquor Stores",44531,0
NAICS 446110,Pharmacies and Drug Stores,44611,0
NAICS 446120,"Cosmetics, Beauty Supplies, and Perfume Stores",44612,0
NAICS 446130,Optical Goods Stores,44613,0
NAICS 446191,Food (Health) Supplement Stores,44619,1
NAICS 446199,All Other Health and Personal Care Stores,44619,9
NAICS 447110,Gasoline Stations with Convenience Stores,44711,0
NAICS 447190,Other Gasoline Stations,44719,0
NAICS 448110,Men's Clothing Stores,44811,0
NAICS 448120,Women's Clothing Stores,44812,0
NAICS 448130,Children's and Infants' Clothing Stores,44813,0
NAICS 448140,Family Clothing Stores,44814,0
NAICS 448150,Clothing Accessories Stores,44815,0
NAICS 448190,Other Clothing Stores,44819,0
NAICS 448210,Shoe Stores,44821,0
NAICS 448310,Jewelry Stores,44831,0
NAICS 448320,Luggage and Leather Goods Stores,44832,0
NAICS 451110,Sporting Goods Stores,45111,0
NAICS 451120,"Hobby, Toy, and Game Stores",45112,0
NAICS 451130,"Sewing, Needlework, and Piece Goods Stores",45113,0
NAICS 451140,Musical Instrument and Supplies Stores,45114,0
NAICS 451211,Book Stores,45121,1
NAICS 451212,News Dealers and Newsstands,45121,2
NAICS 452111,Department Stores (except Discount Department Stores),45211,1
NAICS 452112,Discount Department Stores,45211,2
NAICS 452910,Warehouse Clubs and Supercenters,45291,0
NAICS 452990,All Other General Merchandise Stores,45299,0
NAICS 453110,Florists,45311,0
NAICS 453210,Office Supplies and Stationery Stores,45321,0
NAICS 453220,"Gift, Novelty, and Souvenir Stores",45322,0
NAICS 453310,Used Merchandise Stores,45331,0
NAICS 453910,Pet and Pet Supplies Stores,45391,0
NAICS 453920,Art Dealers,45392,0
NAICS 453930,Manufactured (Mobile) Home Dealers,45393,0
NAICS 453991,Tobacco Stores,45399,1
NAICS 453998,All Other Miscellaneous Store Retailers (except Tobacco Stores),45399,8
NAICS 454111,Electronic Shopping,45411,1
NAICS 454112,Electronic Auctions,45411,2
NAICS 454113,Mail-Order Houses,45411,3
NAICS 454210,Vending Machine Operators,45421,0
NAICS 454310,Fuel Dealers,45431,0
NAICS 454390,Other Direct Selling Establishments,45439,0
NAICS 481111,Scheduled Passenger Air Transportation,48111,1
NAICS 481112,Scheduled Freight Air Transportation,48111,2
NAICS 481211,Nonscheduled Chartered Passenger Air Transportation,48121,1
NAICS 481212,Nonscheduled Chartered Freight Air Transportation,48121,2
NAICS 481219,Other Nonscheduled Air Transportation,48121,9
NAICS 482111,Line-Haul Railroads,48211,1
NAICS 482112,Short Line Railroads,48211,2
NAICS 483111,Deep Sea Freight Transportation,48311,1
NAICS 483112,Deep Sea Passenger Transportation,48311,2
NAICS 483113,Coastal and Great Lakes Freight Transportation,48311,3
NAICS 483114,Coastal and Great Lakes Passenger Transportation,48311,4
NAICS 483211,Inland Water Freight Transportation,48321,1
NAICS 483212,Inland Water Passenger Transportation,48321,2
NAICS 484110,"General Freight Trucking, Local",48411,0
NAICS 484121,"General Freight Trucking, Long-Distance, Truckload",48412,1
NAICS 484122,"General Freight Trucking, Long-Distance, Less Than Truckload",48412,2
NAICS 484210,Used Household and Office Goods Moving,48421,0
NAICS 484220,"Specialized Freight (except Used Goods) Trucking, Local",48422,0
NAICS 484230,"Specialized Freight (except Used Goods) Trucking, Long-Distance",48423,0
NAICS 485111,Mixed Mode Transit Systems,48511,1
NAICS 485112,Commuter Rail Systems,48511,2
NAICS 485113,Bus and Other Motor Vehicle Transit Systems,48511,3
NAICS 485119,Other Urban Transit Systems,48511,9
NAICS 485210,Interurban and Rural Bus Transportation,48521,0
NAICS 485310,Taxi Service,48531,0
NAICS 485320,Limousine Service,48532,0
NAICS 485410,School and Employee Bus Transportation,48541,0
NAICS 485510,Charter Bus Industry,48551,0
NAICS 485991,Special Needs Transportation,48599,1
NAICS 485999,All Other Transit and Ground Passenger Transportation,48599,9
NAICS 486110,Pipeline Transportation of Crude Oil,48611,0
NAICS 486210,Pipeline Transportation of Natural Gas,48621,0
NAICS 486910,Pipeline Transportation of Refined Petroleum Products,48691,0
NAICS 486990,All Other Pipeline Transportation,48699,0
NAICS 487110,"Scenic and Sightseeing Transportation, Land",48711,0
NAICS 487210,"Scenic and Sightseeing Transportation, Water",48721,0
NAICS 487990,"Scenic and Sightseeing Transportation, Other",48799,0
NAICS 488111,Air Traffic Control,48811,1
NAICS 488119,Other Airport Operations,48811,9
NAICS 488190,Other Support Activities for Air Transportation,48819,0
NAICS 488210,Support Activities for Rail Transportation,48821,0
NAICS 488310,Port and Harbor Operations,48831,0
NAICS 488320,Marine Cargo Handling,48832,0
NAICS 488330,Navigational Services to Shipping,48833,0
NAICS 488390,Other Support Activities for Water Transportation,48839,0
NAICS 488410,Motor Vehicle Towing,48841,0
NAICS 488490,Other Support Activities for Road Transportation,48849,0
NAICS 488510,Freight Transportation Arrangement,48851,0
NAICS 488991,Packing and Crating,48899,1
NAICS 488999,All Other Support Activities for Transportation,48899,9
NAICS 491110,Postal Service,49111,0
NAICS 492110,Couriers and Express Delivery Services,49211,0
NAICS 492210,Local Messengers and Local Delivery,49221,0
NAICS 493110,General Warehousing and Storage,49311,0
NAICS 493120,Refrigerated Warehousing and Storage,49312,0
NAICS 493130,Farm Product Warehousing and Storage,49313,0
NAICS 493190,Other Warehousing and Storage,49319,0
NAICS 511110,Newspaper Publishers,51111,0
NAICS 511120,Periodical Publishers,51112,0
NAICS 511130,Book Publishers,51113,0
NAICS 511140,Directory and Mailing List Publishers,51114,0
NAICS 511191,Greeting Card Publishers,51119,1
NAICS 511199,All Other Publishers,51119,9
NAICS 511210,Software Publishers,51121,0
NAICS 512110,Motion Picture and Video Production,51211,0
NAICS 512120,Motion Picture and Video Distribution,51212,0
NAICS 512131,Motion Picture Theaters (except Drive-Ins),51213,1
NAICS 512132,Drive-In Motion Picture Theaters,51213,2
NAICS 512191,Teleproduction and Other Postproduction Services,51219,1
NAICS 512199,Other Motion Picture and Video Industries,51219,9
NAICS 512210,Record Production,51221,0
NAICS 512220,Integrated Record Production/Distribution,51222,0
NAICS 512230,Music Publishers,51223,0
NAICS 512240,Sound Recording Studios,51224,0
NAICS 512290,Other Sound Recording Industries,51229,0
NAICS 515111,Radio Networks,51511,1
NAICS 515112,Radio Stations,51511,2
NAICS 515120,Television Broadcasting,51512,0
NAICS 515210,Cable and Other Subscription Programming,51521,0
NAICS 517110,Wired Telecommunications Carriers,51711,0
NAICS 517210,Wireless Telecommunications Carriers (except Satellite),51721,0
NAICS 517410,Satellite Telecommunications,51741,0
NAICS 517911,Telecommunications Resellers,51791,1
NAICS 517919,All Other Telecommunications,51791,9
NAICS 518210,"Data Processing, Hosting, and Related Services",51821,0
NAICS 519110,News Syndicates,51911,0
NAICS 519120,Libraries and Archives,51912,0
NAICS 519130,Internet Publishing and Broadcasting and Web Search Portals,51913,0
NAICS 519190,All Other Information Services,51919,0
NAICS 521110,Monetary Authorities-Central Bank,52111,0
NAICS 522110,Commercial Banking,52211,0
NAICS 522120,Savings Institutions,52212,0
NAICS 522130,Credit Unions,52213,0
NAICS 522190,Other Depository Credit Intermediation,52219,0
NAICS 522210,Credit Card Issuing,52221,0
NAICS 522220,Sales Financing,52222,0
NAICS 522291,Consumer Lending,52229,1
NAICS 522292,Real Estate Credit,52229,2
NAICS 522293,International Trade Financing,52229,3
NAICS 522294,Secondary Market Financing,52229,4
NAICS 522298,All Other Nondepository Credit Intermediation,52229,8
NAICS 522310,Mortgage and Nonmortgage Loan Brokers,52231,0
NAICS 522320,"Financial Transactions Processing, Reserve, and Clearinghouse Activities",52232,0
NAICS 522390,Other Activities Related to Credit Intermediation,52239,0
NAICS 523110,Investment Banking and Securities Dealing,52311,0
NAICS 523120,Securities Brokerage,52312,0
NAICS 523130,Commodity Contracts Dealing,52313,0
NAICS 523140,Commodity Contracts Brokerage,52314,0
NAICS 523210,Securities and Commodity Exchanges,52321,0
NAICS 523910,Miscellaneous Intermediation,52391,0
NAICS 523920,Portfolio Management,52392,0
NAICS 523930,Investment Advice,52393,0
NAICS 523991,"Trust, Fiduciary, and Custody Activities",52399,1
NAICS 523999,Miscellaneous Financial Investment Activities,52399,9
NAICS 524113,Direct Life Insurance Carriers,52411,3
NAICS 524114,Direct Health and Medical Insurance Carriers,52411,4
NAICS 524126,Direct Property and Casualty Insurance Carriers,52412,6
NAICS 524127,Direct Title Insurance Carriers,52412,7
NAICS 524128,"Other Direct Insurance (except Life, Health, and Medical) Carriers",52412,8
NAICS 524130,Reinsurance Carriers,52413,0
NAICS 524210,Insurance Agencies and Brokerages,52421,0
NAICS 524291,Claims Adjusting,52429,1
NAICS 524292,Third Party Administration of Insurance and Pension Funds,52429,2
NAICS 524298,All Other Insurance Related Activities,52429,8
NAICS 525110,Pension Funds,52511,0
NAICS 525120,Health and Welfare Funds,52512,0
NAICS 525190,Other Insurance Funds,52519,0
NAICS 525910,Open-End Investment Funds,52591,0
NAICS 525920,"Trusts, Estates, and Agency Accounts",52592,0
NAICS 525990,Other Financial Vehicles,52599,0
NAICS 531110,Lessors of Residential Buildings and Dwellings,53111,0
NAICS 531120,Lessors of Nonresidential Buildings (except Miniwarehouses),53112,0
NAICS 531130,Lessors of Miniwarehouses and Self-Storage Units,53113,0
NAICS 531190,Lessors of Other Real Estate Property,53119,0
NAICS 531210,Offices of Real Estate Agents and Brokers,53121,0
NAICS 531311,Residential Property Managers,53131,1
NAICS 531312,Nonresidential Property Managers,53131,2
NAICS 531320,Offices of Real Estate Appraisers,53132,0
NAICS 531390,Other Activities Related to Real Estate,53139,0
NAICS 532111,Passenger Car Rental,53211,1
NAICS 532112,Passenger Car Leasing,53211,2
NAICS 532120,"Truck, Utility Trailer, and RV (Recreational Vehicle) Rental and Leasing",53212,0
NAICS 532210,Consumer Electronics and Appliances Rental,53221,0
NAICS 532220,Formal Wear and Costume Rental,53222,0
NAICS 532230,Video Tape and Disc Rental,53223,0
NAICS 532291,Home Health Equipment Rental,53229,1
NAICS 532292,Recreational Goods Rental,53229,2
NAICS 532299,All Other Consumer Goods Rental,53229,9
NAICS 532310,General Rental Centers,53231,0
NAICS 532411,"Commercial Air, Rail, and Water Transportation Equipment Rental and Leasing",53241,1
NAICS 532412,"Construction, Mining, and Forestry Machinery and Equipment Rental and Leasing",53241,2
NAICS 532420,Office Machinery and Equipment Rental and Leasing,53242,0
NAICS 532490,Other Commercial and Industrial Machinery and Equipment Rental and Leasing,53249,0
NAICS 533110,Lessors of Nonfinancial Intangible Assets (except Copyrighted Works),53311,0
NAICS 541110,Offices of Lawyers,54111,0
NAICS 541120,Offices of Notaries,54112,0
NAICS 541191,Title Abstract and Settlement Offices,54119,1
NAICS 541199,All Other Legal Services,54119,9
NAICS 541211,Offices of Certified Public Accountants,54121,1
NAICS 541213,Tax Preparation Services,54121,3
NAICS 541214,Payroll Services,54121,4
NAICS 541219,Other Accounting Services,54121,9
NAICS 541310,Architectural Services,54131,0
NAICS 541320,Landscape Architectural Services,54132,0
NAICS 541330,Engineering Services,54133,0
NAICS 541340,Drafting Services,54134,0
NAICS 541350,Building Inspection Services,54135,0
NAICS 541360,Geophysical Surveying and Mapping Services,54136,0
NAICS 541370,Surveying and Mapping (except Geophysical) Services,54137,0
NAICS 541380,Testing Laboratories,54138,0
NAICS 541410,Interior Design Services,54141,0
NAICS 541420,Industrial Design Services,54142,0
NAICS 541430,Graphic Design Services,54143,0
NAICS 541490,Other Specialized Design Services,54149,0
NAICS 541511,Custom Computer Programming Services,54151,1
NAICS 541512,Computer Systems Design Services,54151,2
NAICS 541513,Computer Facilities Management Services,54151,3
NAICS 541519,Other Computer Related Services,54151,9
NAICS 541611,Administrative Management and General Management Consulting Services,54161,1
NAICS 541612,Human Resources Consulting Services,54161,2
NAICS 541613,Marketing Consulting Services,54161,3
NAICS 541614,"Process, Physical Distribution, and Logistics Consulting Services",54161,4
NAICS 541618,Other Management Consulting Services,54161,8
NAICS 541620,Environmental Consulting Services,54162,0
NAICS 541690,Other Scientific and Technical Consulting Services,54169,0
NAICS 541711,Research and Development in Biotechnology,54171,1
NAICS 541712,"Research and Development in the Physical, Engineering, and Life Sciences (except Biotechnology)",54171,2
NAICS 541720,Research and Development in the Social Sciences and Humanities,54172,0
NAICS 541810,Advertising Agencies,54181,0
NAICS 541820,Public Relations Agencies,54182,0
NAICS 541830,Media Buying Agencies,54183,0
NAICS 541840,Media Representatives,54184,0
NAICS 541850,Outdoor Advertising,54185,0
NAICS 541860,Direct Mail Advertising,54186,0
NAICS 541870,Advertising Material Distribution Services,54187,0
NAICS 541890,Other Services Related to Advertising,54189,0
NAICS 541910,Marketing Research and Public Opinion Polling,54191,0
NAICS 541921,"Photography Studios, Portrait",54192,1
NAICS 541922,Commercial Photography,54192,2
NAICS 541930,Translation and Interpretation Services,54193,0
NAICS 541940,Veterinary Services,54194,0
NAICS 541990,"All Other Professional, Scientific, and Technical Services",54199,0
NAICS 551111,Offices of Bank Holding Companies,55111,1
NAICS 551112,Offices of Other Holding Companies,55111,2
NAICS 551114,"Corporate, Subsidiary, and Regional Managing Offices",55111,4
NAICS 561110,Office Administrative Services,56111,0
NAICS 561210,Facilities Support Services,56121,0
NAICS 561311,Employment Placement Agencies,56131,1
NAICS 561312,Executive Search Services,56131,2
NAICS 561320,Temporary Help Services,56132,0
NAICS 561330,Professional Employer Organizations,56133,0
NAICS 561410,Document Preparation Services,56141,0
NAICS 561421,Telephone Answering Services,56142,1
NAICS 561422,Telemarketing Bureaus and Other Contact Centers,56142,2
NAICS 561431,Private Mail Centers,56143,1
NAICS 561439,Other Business Service Centers (including Copy Shops),56143,9
NAICS 561440,Collection Agencies,56144,0
NAICS 561450,Credit Bureaus,56145,0
NAICS 561491,Repossession Services,56149,1
NAICS 561492,Court Reporting and Stenotype Services,56149,2
NAICS 561499,All Other Business Support Services,56149,9
NAICS 561510,Travel Agencies,56151,0
NAICS 561520,Tour Operators,56152,0
NAICS 561591,Convention and Visitors Bureaus,56159,1
NAICS 561599,All Other Travel Arrangement and Reservation Services,56159,9
NAICS 561611,Investigation Services,56161,1
NAICS 561612,Security Guards and Patrol Services,56161,2
NAICS 561613,Armored Car Services,56161,3
NAICS 561621,Security Systems Services (except Locksmiths),56162,1
NAICS 561622,Locksmiths,56162,2
NAICS 561710,Exterminating and Pest Control Services,56171,0
NAICS 561720,Janitorial Services,56172,0
NAICS 561730,Landscaping Services,56173,0
NAICS 561740,Carpet and Upholstery Cleaning Services,56174,0
NAICS 561790,Other Services to Buildings and Dwellings,56179,0
NAICS 561910,Packaging and Labeling Services,56191,0
NAICS 561920,Convention and Trade Show Organizers,56192,0
NAICS 561990,All Other Support Services,56199,0
NAICS 562111,Solid Waste Collection,56211,1
NAICS 562112,Hazardous Waste Collection,56211,2
NAICS 562119,Other Waste Collection,56211,9
NAICS 562211,Hazardous Waste Treatment and Disposal,56221,1
NAICS 562212,Solid Waste Landfill,56221,2
NAICS 562213,Solid Waste Combustors and Incinerators,56221,3
NAICS 562219,Other Nonhazardous Waste Treatment and Disposal,56221,9
NAICS 562910,Remediation Services,56291,0
NAICS 562920,Materials Recovery Facilities,56292,0
NAICS 562991,Septic Tank and Related Services,56299,1
NAICS 562998,All Other Miscellaneous Waste Management Services,56299,8
NAICS 611110,Elementary and Secondary Schools,61111,0
NAICS 611210,Junior Colleges,61121,0
NAICS 611310,"Colleges, Universities, and Professional Schools",61131,0
NAICS 611410,Business and Secretarial Schools,61141,0
NAICS 611420,Computer Training,61142,0
NAICS 611430,Professional and Management Development Training,61143,0
NAICS 611511,Cosmetology and Barber Schools,61151,1
NAICS 611512,Flight Training,61151,2
NAICS 611513,Apprenticeship Training,61151,3
NAICS 611519,Other Technical and Trade Schools,61151,9
NAICS 611610,Fine Arts Schools,61161,0
NAICS 611620,Sports and Recreation Instruction,61162,0
NAICS 611630,Language Schools,61163,0
NAICS 611691,Exam Preparation and Tutoring,61169,1
NAICS 611692,Automobile Driving Schools,61169,2
NAICS 611699,All Other Miscellaneous Schools and Instruction,61169,9
NAICS 611710,Educational Support Services,61171,0
NAICS 621111,Offices of Physicians (except Mental Health Specialists),62111,1
NAICS 621112,"Offices of Physicians, Mental Health Specialists",62111,2
NAICS 621210,Offices of Dentists,62121,0
NAICS 621310,Offices of Chiropractors,62131,0
NAICS 621320,Offices of Optometrists,62132,0
NAICS 621330,Offices of Mental Health Practitioners (except Physicians),62133,0
NAICS 621340,"Offices of Physical, Occupational and Speech Therapists, and Audiologists",62134,0
NAICS 621391,Offices of Podiatrists,62139,1
NAICS 621399,Offices of All Other Miscellaneous Health Practitioners,62139,9
NAICS 621410,Family Planning Centers,62141,0
NAICS 621420,Outpatient Mental Health and Substance Abuse Centers,62142,0
NAICS 621491,HMO Medical Centers,62149,1
NAICS 621492,Kidney Dialysis Centers,62149,2
NAICS 621493,Freestanding Ambulatory Surgical and Emergency Centers,62149,3
NAICS 621498,All Other Outpatient Care Centers,62149,8
NAICS 621511,Medical Laboratories,62151,1
NAICS 621512,Diagnostic Imaging Centers,62151,2
NAICS 621610,Home Health Care Services,62161,0
NAICS 621910,Ambulance Services,62191,0
NAICS 621991,Blood and Organ Banks,62199,1
NAICS 621999,All Other Miscellaneous Ambulatory Health Care Services,62199,9
NAICS 622110,General Medical and Surgical Hospitals,62211,0
NAICS 622210,Psychiatric and Substance Abuse Hospitals,62221,0
NAICS 622310,Specialty (except Psychiatric and Substance Abuse) Hospitals,62231,0
NAICS 623110,Nursing Care Facilities (Skilled Nursing Facilities),62311,0
NAICS 623210,Residential Intellectual and Developmental Disability Facilities,62321,0
NAICS 623220,Residential Mental Health and Substance Abuse Facilities,62322,0
NAICS 623311,Continuing Care Retirement Communities,62331,1
NAICS 623312,Assisted Living Facilities for the Elderly,62331,2
NAICS 623990,Other Residential Care Facilities,62399,0
NAICS 624110,Child and Youth Services,62411,0
NAICS 624120,Services for the Elderly and Persons with Disabilities,62412,0
